Power(W), Temperature(å¼C), Time(ms), elapsed time(ms), number of samples
63.88,54,457.306549,,
63.88,54,457.757538,,
63.88,54,458.208527,,
63.88,54,458.659515,,
63.88,54,459.110504,,
63.785,54,459.561493,,
63.785,54,460.012482,,
63.785,54,460.463501,,
63.785,54,460.91449,,
63.785,54,461.365479,,
63.785,54,461.816467,,
63.785,54,462.267456,,
63.785,54,462.718445,,
63.785,54,463.169434,,
63.785,54,463.620453,,
63.785,54,464.071442,,
63.785,54,464.52243,,
63.785,54,464.973419,,
63.785,54,465.424408,,
63.785,54,465.875397,,
63.785,54,466.326385,,
63.785,54,466.777374,,
63.785,54,467.228394,,
63.785,54,467.679382,,
63.785,54,468.130371,,
63.785,54,468.58136,,
63.785,54,469.032349,,
63.785,54,469.483337,,
63.785,54,469.934326,,
63.785,54,470.385315,,
63.785,54,470.836334,,
63.785,54,471.287323,,
63.785,54,471.738312,,
63.785,54,472.189301,,
63.785,54,472.640289,,
63.785,54,473.091278,,
63.785,54,473.542267,,
63.785,54,473.993256,,
63.785,54,474.444275,,
63.785,54,474.895264,,
63.785,54,475.346252,,
63.785,54,475.797241,,
63.785,54,476.24823,,
63.785,54,476.699219,,
63.785,54,477.150208,,
63.785,54,477.601196,,
63.785,54,478.052216,,
63.785,54,478.503204,,
63.785,54,478.954193,,
